2026-06-22 11:54:44 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpabcwkrhg.mrc | shape: 512x512x1 | dtype: float32
2026-06-22 12:03:24 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpm2aknler\img_1.mrc | shape: 256x256x1 | dtype: float32
2026-06-22 12:04:19 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmp14538lro.mrc | shape: 512x512x1 | dtype: float32
2026-06-22 12:04:26 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpji50t78m\img_0.mrc | shape: 256x256x1 | dtype: float32
2026-06-22 12:04:26 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpji50t78m\img_1.mrc | shape: 256x256x1 | dtype: float32
2026-06-22 12:06:37 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmp7zcrm4xk.mrc | shape: 512x512x1 | dtype: float32
2026-06-22 12:06:38 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpinmlags2\img_0.mrc | shape: 256x256x1 | dtype: float32
2026-06-22 12:06:38 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpinmlags2\img_1.mrc | shape: 256x256x1 | dtype: float32
2026-06-22 12:07:50 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmp2zzyiagn.mrc | shape: 512x512x1 | dtype: float32
2026-06-22 12:07:52 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpx33bqkvh\img_0.mrc | shape: 256x256x1 | dtype: float32
2026-06-22 12:07:52 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpx33bqkvh\img_1.mrc | shape: 256x256x1 | dtype: float32
2026-06-22 12:36:24 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpus_rh82q.mrc | shape: 512x512x1 | dtype: float32
2026-06-22 12:36:25 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpz8g50fm2\img_0.mrc | shape: 256x256x1 | dtype: float32
2026-06-22 12:36:25 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpz8g50fm2\img_1.mrc | shape: 256x256x1 | dtype: float32
2026-06-22 12:37:51 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpiylhvrf_.mrc | shape: 512x512x1 | dtype: float32
2026-06-22 12:37:53 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmp0rjafl_j\img_0.mrc | shape: 256x256x1 | dtype: float32
2026-06-22 12:37:53 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmp0rjafl_j\img_1.mrc | shape: 256x256x1 | dtype: float32
2026-06-22 12:40:36 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmp2yfobzk2.mrc | shape: 512x512x1 | dtype: float32
2026-06-22 12:40:38 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpyu_cekdi\img_0.mrc | shape: 256x256x1 | dtype: float32
2026-06-22 12:40:38 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpyu_cekdi\img_1.mrc | shape: 256x256x1 | dtype: float32
2026-06-22 12:41:04 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpab7umcao.mrc | shape: 512x512x1 | dtype: float32
2026-06-22 12:41:05 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpwamo8jyf\img_0.mrc | shape: 256x256x1 | dtype: float32
2026-06-22 12:41:05 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpwamo8jyf\img_1.mrc | shape: 256x256x1 | dtype: float32
2026-06-22 12:43:32 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpoxynbt1k.mrc | shape: 512x512x1 | dtype: float32
2026-06-22 12:43:33 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpctq9ujl2\img_0.mrc | shape: 256x256x1 | dtype: float32
2026-06-22 12:43:33 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpctq9ujl2\img_1.mrc | shape: 256x256x1 | dtype: float32
2026-06-22 13:04:39 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpauyoxqdv.mrc_tmp | shape: 64x64x1 | dtype: float32
2026-06-22 13:04:39 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpptmq2v06.mrc_tmp | shape: 16x16x1 | dtype: float32
2026-06-22 13:04:49 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpp78sa4br.mrc_tmp | shape: 32x32x100 | dtype: float32
2026-06-22 13:04:52 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpdjdule5c.mrc_tmp | shape: 64x64x50 | dtype: float32
2026-06-22 13:04:53 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpfv0ynoo5.mrc_tmp | shape: 128x128x1 | dtype: float32
2026-06-22 13:04:55 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmp2doo84be.mrc_tmp | shape: 64x64x1 | dtype: float32
2026-06-22 13:04:56 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpc697qprh.mrc_tmp | shape: 16x16x1 | dtype: float32
2026-06-22 13:05:01 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmp1y8bzjb0.mrc_tmp | shape: 32x32x100 | dtype: float32
2026-06-22 13:05:02 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpd44n1fh9.mrc_tmp | shape: 64x64x50 | dtype: float32
2026-06-22 13:05:02 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpe5xwfhvc.mrc_tmp | shape: 128x128x1 | dtype: float32
2026-06-22 13:07:32 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpui7v8_fv.mrc_tmp | shape: 64x64x1 | dtype: float32
2026-06-22 13:07:33 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpgd_9e0qw.mrc_tmp | shape: 16x16x1 | dtype: float32
2026-06-22 13:07:43 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpchltdvbo.mrc_tmp | shape: 32x32x100 | dtype: float32
2026-06-22 13:07:45 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpwrgsz5rn.mrc_tmp | shape: 64x64x50 | dtype: float32
2026-06-22 13:07:46 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmp1szplkwv.mrc_tmp | shape: 128x128x1 | dtype: float32
2026-06-22 13:07:48 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpaitz220r.mrc_tmp | shape: 64x64x1 | dtype: float32
2026-06-22 13:07:49 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmp2mpxu5pc.mrc_tmp | shape: 16x16x1 | dtype: float32
2026-06-22 13:07:51 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpbrm_858m.mrc_tmp | shape: 32x32x100 | dtype: float32
2026-06-22 13:07:54 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmp_dv3_g1q.mrc_tmp | shape: 64x64x50 | dtype: float32
2026-06-22 13:07:55 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpnx6ywsuj.mrc_tmp | shape: 128x128x1 | dtype: float32
2026-06-22 13:09:12 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpq5w1iaa6.mrc | shape: 512x512x1 | dtype: float32
2026-06-22 13:09:16 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpsb0fx01m\img_0.mrc | shape: 256x256x1 | dtype: float32
2026-06-22 13:09:16 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpsb0fx01m\img_1.mrc | shape: 256x256x1 | dtype: float32
2026-06-22 13:10:31 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpp72q1u0_.mrc | shape: 512x512x1 | dtype: float32
2026-06-22 13:10:35 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpb9npm7xw\img_0.mrc | shape: 256x256x1 | dtype: float32
2026-06-22 13:10:35 | INFO     | io.stream_ops        | stream_ops:102 | Wrote MRC file: C:\Users\ZhuanZ\AppData\Local\Temp\tmpb9npm7xw\img_1.mrc | shape: 256x256x1 | dtype: float32
